"","NAME","Year","Month","Day","PRCP","SNOW","SNWD"
"36","HANOVER, NH US",1893,12,23,0.16,0,NA
"37","HANOVER, NH US",1893,12,25,0.01,0,NA
"38","HANOVER, NH US",1893,12,28,0.06,0.8,NA
"39","HANOVER, NH US",1893,12,29,0.94,0,NA
"40","HANOVER, NH US",1893,12,30,0.04,0.6,NA
"41","HANOVER, NH US",1893,12,31,0.09,0.7,NA
"42","HANOVER, NH US",1894,1,6,0.06,0,NA
"43","HANOVER, NH US",1894,1,8,0.04,1,NA
"44","HANOVER, NH US",1894,1,11,0.1,3,NA
"45","HANOVER, NH US",1894,1,19,0.12,2,NA
"46","HANOVER, NH US",1894,1,21,0,0,NA
"47","HANOVER, NH US",1894,1,24,0.36,0,NA
"48","HANOVER, NH US",1894,1,27,0.23,2.8,NA
"49","HANOVER, NH US",1894,1,30,0.52,4,NA
"50","HANOVER, NH US",1894,2,1,0,0,NA
"51","HANOVER, NH US",1894,2,2,0,0,NA
"52","HANOVER, NH US",1894,2,3,0,0,NA
"53","HANOVER, NH US",1894,2,4,0,0,NA
"54","HANOVER, NH US",1894,2,5,0,0,NA
"55","HANOVER, NH US",1894,2,6,0,0,NA
"56","HANOVER, NH US",1894,2,7,0,0,NA
"57","HANOVER, NH US",1894,2,8,0,0,NA
"58","HANOVER, NH US",1894,2,9,0.12,3.5,NA
"59","HANOVER, NH US",1894,2,10,0.21,2.5,NA
"60","HANOVER, NH US",1894,2,11,0,0,NA
"61","HANOVER, NH US",1894,2,12,0,0,NA
"62","HANOVER, NH US",1894,2,13,0.67,14,NA
"63","HANOVER, NH US",1894,2,14,0,0,NA
"64","HANOVER, NH US",1894,2,15,0.81,13,NA
"65","HANOVER, NH US",1894,2,16,0,0,NA
"66","HANOVER, NH US",1894,2,17,0,0,NA
"67","HANOVER, NH US",1894,2,18,0.06,0,NA
"68","HANOVER, NH US",1894,2,19,0,0,NA
"69","HANOVER, NH US",1894,2,20,0,0,NA
"70","HANOVER, NH US",1894,2,21,0.12,3,NA
"71","HANOVER, NH US",1894,2,22,0,0,NA
"72","HANOVER, NH US",1894,2,23,0.03,1,NA
"73","HANOVER, NH US",1894,2,24,0,0,NA
"74","HANOVER, NH US",1894,2,25,0,0,NA
"75","HANOVER, NH US",1894,2,26,0,0,NA
"76","HANOVER, NH US",1894,2,27,0,0,NA
"77","HANOVER, NH US",1894,2,28,0,0,NA
"78","HANOVER, NH US",1894,3,1,0,0,NA
"79","HANOVER, NH US",1894,3,2,0,0,NA
"80","HANOVER, NH US",1894,3,3,0,0,NA
"81","HANOVER, NH US",1894,3,4,0,0,NA
"82","HANOVER, NH US",1894,3,5,0,0,NA
"83","HANOVER, NH US",1894,3,6,0,0,NA
"84","HANOVER, NH US",1894,3,7,0,0,NA
"85","HANOVER, NH US",1894,3,8,0,0,NA
"86","HANOVER, NH US",1894,3,9,0,0,NA
"87","HANOVER, NH US",1894,3,11,0.07,0,NA
"88","HANOVER, NH US",1894,3,12,0,0,NA
"89","HANOVER, NH US",1894,3,13,0,0,NA
"90","HANOVER, NH US",1894,3,14,0.3,2.3,NA
"91","HANOVER, NH US",1894,3,15,0,0,NA
"92","HANOVER, NH US",1894,3,16,0,0,NA
"93","HANOVER, NH US",1894,3,17,0,0,NA
"94","HANOVER, NH US",1894,3,18,0,0,NA
"95","HANOVER, NH US",1894,3,19,0,0,NA
"96","HANOVER, NH US",1894,3,20,0.2,0,NA
"97","HANOVER, NH US",1894,3,21,0,0,NA
"98","HANOVER, NH US",1894,3,22,0.01,0,NA
"99","HANOVER, NH US",1894,3,23,0.5,2,NA
"100","HANOVER, NH US",1894,3,24,0,0,NA
"101","HANOVER, NH US",1894,3,25,0,0,NA
"102","HANOVER, NH US",1894,3,26,0.01,0.5,NA
"103","HANOVER, NH US",1894,3,27,0,0.2,NA
"104","HANOVER, NH US",1894,3,28,0,0,NA
"105","HANOVER, NH US",1894,3,29,0.01,1,NA
"106","HANOVER, NH US",1894,3,30,0,0,NA
"107","HANOVER, NH US",1894,3,31,0,0,NA
"108","HANOVER, NH US",1894,4,1,0,0,NA
"109","HANOVER, NH US",1894,4,2,0,0,NA
"110","HANOVER, NH US",1894,4,3,0,0,NA
"111","HANOVER, NH US",1894,4,4,0.05,0.2,NA
"112","HANOVER, NH US",1894,4,5,0,0,NA
"113","HANOVER, NH US",1894,4,6,0,0,NA
"114","HANOVER, NH US",1894,4,7,0,0,NA
"115","HANOVER, NH US",1894,4,8,0.4,8,NA
"116","HANOVER, NH US",1894,4,9,0,0,NA
"117","HANOVER, NH US",1894,4,10,0,0,NA
"118","HANOVER, NH US",1894,4,11,0,0,NA
"119","HANOVER, NH US",1894,4,12,0.28,0.5,NA
"120","HANOVER, NH US",1894,4,13,0,0,NA
"121","HANOVER, NH US",1894,4,14,0,0,NA
"122","HANOVER, NH US",1894,4,15,0,0,NA
"123","HANOVER, NH US",1894,4,16,0,0,NA
"124","HANOVER, NH US",1894,4,17,0,0,NA
"125","HANOVER, NH US",1894,4,18,0,0,NA
"126","HANOVER, NH US",1894,4,19,0,0,NA
"127","HANOVER, NH US",1894,4,20,0.43,0,NA
"128","HANOVER, NH US",1894,4,21,0.21,0,NA
"129","HANOVER, NH US",1894,4,22,0.18,0,NA
"130","HANOVER, NH US",1894,4,23,0.07,0,NA
"131","HANOVER, NH US",1894,4,24,0.03,0,NA
"132","HANOVER, NH US",1894,4,25,0,0,NA
"133","HANOVER, NH US",1894,4,26,0,0,NA
"134","HANOVER, NH US",1894,4,27,0,0,NA
"135","HANOVER, NH US",1894,4,28,0.06,0,NA
"136","HANOVER, NH US",1894,4,29,0,0,NA
"137","HANOVER, NH US",1894,4,30,0,0,NA
"138","HANOVER, NH US",1894,11,6,0.07,1.5,NA
"139","HANOVER, NH US",1894,11,7,0.02,0.5,NA
"140","HANOVER, NH US",1894,11,9,0.08,1.5,NA
"141","HANOVER, NH US",1894,11,10,0.17,2.3,NA
"142","HANOVER, NH US",1894,11,13,0.15,1.5,NA
"143","HANOVER, NH US",1894,11,19,0,0,NA
"144","HANOVER, NH US",1894,11,25,0.03,1,NA
"145","HANOVER, NH US",1894,11,28,0.01,0,NA
"146","HANOVER, NH US",1894,11,30,0.5,0.5,NA
"147","HANOVER, NH US",1894,12,1,0,0,NA
"148","HANOVER, NH US",1894,12,2,0.28,3.2,NA
"149","HANOVER, NH US",1894,12,3,0,0,NA
"150","HANOVER, NH US",1894,12,4,0,0,NA
"151","HANOVER, NH US",1894,12,5,0,0,NA
"152","HANOVER, NH US",1894,12,6,0,0,NA
"153","HANOVER, NH US",1894,12,7,0,0,NA
"154","HANOVER, NH US",1894,12,8,0.02,0.3,NA
"155","HANOVER, NH US",1894,12,9,0.28,2.9,NA
"156","HANOVER, NH US",1894,12,10,0.01,0.3,NA
"157","HANOVER, NH US",1894,12,11,0.01,0.1,NA
"158","HANOVER, NH US",1894,12,12,0.53,0,NA
"159","HANOVER, NH US",1894,12,13,0,0,NA
"160","HANOVER, NH US",1894,12,14,0,0,NA
"161","HANOVER, NH US",1894,12,15,0,0,NA
"162","HANOVER, NH US",1894,12,16,0,0,NA
"163","HANOVER, NH US",1894,12,17,0,0,NA
"164","HANOVER, NH US",1894,12,18,0,0,NA
"165","HANOVER, NH US",1894,12,19,0,0,NA
"166","HANOVER, NH US",1894,12,20,0,0,NA
"167","HANOVER, NH US",1894,12,21,0,0,NA
"168","HANOVER, NH US",1894,12,22,0,0,NA
"169","HANOVER, NH US",1894,12,23,0,0,NA
"170","HANOVER, NH US",1894,12,24,0,0,NA
"171","HANOVER, NH US",1894,12,25,0.03,0.2,NA
"172","HANOVER, NH US",1894,12,26,0,0,NA
"173","HANOVER, NH US",1894,12,27,1.29,12.5,NA
"174","HANOVER, NH US",1894,12,28,0,0,NA
"175","HANOVER, NH US",1894,12,29,0,0,NA
"176","HANOVER, NH US",1894,12,30,0,0,NA
"177","HANOVER, NH US",1894,12,31,0,0,NA
"178","HANOVER, NH US",1895,1,1,0,0,NA
"179","HANOVER, NH US",1895,1,2,0,0,NA
"180","HANOVER, NH US",1895,1,3,0,0,NA
"181","HANOVER, NH US",1895,1,4,0.02,0,NA
"182","HANOVER, NH US",1895,1,5,0,0,NA
"183","HANOVER, NH US",1895,1,6,0.54,4.3,NA
"184","HANOVER, NH US",1895,1,7,0.02,0,NA
"185","HANOVER, NH US",1895,1,8,0,0,NA
"186","HANOVER, NH US",1895,1,9,0,0,NA
"187","HANOVER, NH US",1895,1,10,0.25,2,NA
"188","HANOVER, NH US",1895,1,11,0,0,NA
"189","HANOVER, NH US",1895,1,12,0.11,0,NA
"190","HANOVER, NH US",1895,1,13,0.03,0,NA
"191","HANOVER, NH US",1895,1,14,0,0,NA
"192","HANOVER, NH US",1895,1,15,0,0,NA
"193","HANOVER, NH US",1895,1,16,0.08,0.3,NA
"194","HANOVER, NH US",1895,1,17,0,0,NA
"195","HANOVER, NH US",1895,1,18,0,0,NA
"196","HANOVER, NH US",1895,1,19,0,0,NA
"197","HANOVER, NH US",1895,1,20,0,0,NA
"198","HANOVER, NH US",1895,1,21,0,0,NA
"199","HANOVER, NH US",1895,1,22,0.17,0,NA
"200","HANOVER, NH US",1895,1,23,0,0,NA
"201","HANOVER, NH US",1895,1,25,0,0,NA
"202","HANOVER, NH US",1895,1,26,0.74,6,NA
"203","HANOVER, NH US",1895,1,27,0,0,NA
"204","HANOVER, NH US",1895,1,28,0,0,NA
"205","HANOVER, NH US",1895,1,29,0,0,NA
"206","HANOVER, NH US",1895,1,30,0,0,NA
"207","HANOVER, NH US",1895,1,31,0,0,NA
"208","HANOVER, NH US",1895,2,1,0,0,NA
"209","HANOVER, NH US",1895,2,3,0,0,NA
"210","HANOVER, NH US",1895,2,4,0.06,1,NA
"211","HANOVER, NH US",1895,2,5,0,0,NA
"212","HANOVER, NH US",1895,2,6,0,0,NA
"213","HANOVER, NH US",1895,2,7,0,0,NA
"214","HANOVER, NH US",1895,2,8,0.65,10.5,NA
"215","HANOVER, NH US",1895,2,9,0.09,1,NA
"216","HANOVER, NH US",1895,2,10,0.05,0.7,NA
"217","HANOVER, NH US",1895,2,11,0,0,NA
"218","HANOVER, NH US",1895,2,15,0,0,NA
"219","HANOVER, NH US",1895,2,16,0,0,NA
"220","HANOVER, NH US",1895,2,17,0,0,NA
"221","HANOVER, NH US",1895,2,18,0,0,NA
"222","HANOVER, NH US",1895,2,19,0,0,NA
"223","HANOVER, NH US",1895,2,20,0,0,NA
"224","HANOVER, NH US",1895,2,23,0,0,NA
"225","HANOVER, NH US",1895,2,24,0,0,NA
"226","HANOVER, NH US",1895,2,26,0,0,NA
"227","HANOVER, NH US",1895,2,27,0,0,NA
"228","HANOVER, NH US",1895,2,28,0,0,NA
"229","HANOVER, NH US",1895,3,1,0.04,0,NA
"230","HANOVER, NH US",1895,3,2,0.18,2.2,NA
"231","HANOVER, NH US",1895,3,3,0,0,NA
"232","HANOVER, NH US",1895,3,4,0.57,2,NA
"233","HANOVER, NH US",1895,3,5,0,0,NA
"234","HANOVER, NH US",1895,3,7,0.02,0.5,NA
"235","HANOVER, NH US",1895,3,8,0,0,NA
"236","HANOVER, NH US",1895,3,9,0,0,NA
"237","HANOVER, NH US",1895,3,10,0,0,NA
"238","HANOVER, NH US",1895,3,11,0,0,NA
"239","HANOVER, NH US",1895,3,13,0.06,0.5,NA
"240","HANOVER, NH US",1895,3,14,0.32,0.8,NA
"241","HANOVER, NH US",1895,3,15,0,0,NA
"242","HANOVER, NH US",1895,3,16,0.06,0.5,NA
"243","HANOVER, NH US",1895,3,19,0,0,NA
"244","HANOVER, NH US",1895,3,20,0,0,NA
"245","HANOVER, NH US",1895,3,21,0,0,NA
"246","HANOVER, NH US",1895,3,22,0.03,0.8,NA
"247","HANOVER, NH US",1895,3,23,0,0,NA
"248","HANOVER, NH US",1895,3,24,0,0,NA
"249","HANOVER, NH US",1895,3,25,0.37,0.7,NA
"250","HANOVER, NH US",1895,3,27,0,0,NA
"251","HANOVER, NH US",1895,3,28,0.34,3.5,NA
"252","HANOVER, NH US",1895,3,29,0,0,NA
"253","HANOVER, NH US",1895,3,31,0,0,NA
"254","HANOVER, NH US",1895,4,1,0.07,0.6,NA
"255","HANOVER, NH US",1895,4,2,0.11,0.5,NA
"256","HANOVER, NH US",1895,4,3,0,0,NA
"257","HANOVER, NH US",1895,4,5,0,0,NA
"258","HANOVER, NH US",1895,4,6,0,0,NA
"259","HANOVER, NH US",1895,4,7,0,0,NA
"260","HANOVER, NH US",1895,4,8,0.36,0,NA
"261","HANOVER, NH US",1895,4,9,0.43,0,NA
"262","HANOVER, NH US",1895,4,10,0.66,0,NA
"263","HANOVER, NH US",1895,4,11,0,0,NA
"264","HANOVER, NH US",1895,4,12,0,0,NA
"265","HANOVER, NH US",1895,4,13,0.58,0,NA
"266","HANOVER, NH US",1895,4,14,1.76,0,NA
"267","HANOVER, NH US",1895,4,15,0.16,0,NA
"268","HANOVER, NH US",1895,4,16,0,0,NA
"269","HANOVER, NH US",1895,4,17,0,0,NA
"270","HANOVER, NH US",1895,4,18,0,0,NA
"271","HANOVER, NH US",1895,4,19,0,0,NA
"272","HANOVER, NH US",1895,4,20,0,0,NA
"273","HANOVER, NH US",1895,4,21,0,0,NA
"274","HANOVER, NH US",1895,4,22,0.03,0,NA
"275","HANOVER, NH US",1895,4,23,0,0,NA
"276","HANOVER, NH US",1895,4,24,0,0,NA
"277","HANOVER, NH US",1895,4,25,0,0,NA
"278","HANOVER, NH US",1895,4,26,0,0,NA
"279","HANOVER, NH US",1895,4,27,0.1,0,NA
"280","HANOVER, NH US",1895,4,28,0,0,NA
"281","HANOVER, NH US",1895,4,29,0,0,NA
"282","HANOVER, NH US",1895,4,30,0,0,NA
"283","HANOVER, NH US",1895,9,1,0,0,NA
"284","HANOVER, NH US",1895,9,2,0,0,NA
"285","HANOVER, NH US",1895,9,3,0,0,NA
"286","HANOVER, NH US",1895,9,4,0,0,NA
"287","HANOVER, NH US",1895,9,5,0,0,NA
"288","HANOVER, NH US",1895,9,6,0,0,NA
"289","HANOVER, NH US",1895,9,7,0,0,NA
"290","HANOVER, NH US",1895,9,8,0,0,NA
"291","HANOVER, NH US",1895,9,9,0.12,0,NA
"292","HANOVER, NH US",1895,9,10,0,0,NA
"293","HANOVER, NH US",1895,9,11,0.73,0,NA
"294","HANOVER, NH US",1895,9,12,0.19,0,NA
"295","HANOVER, NH US",1895,9,13,0,0,NA
"296","HANOVER, NH US",1895,9,14,0,0,NA
"297","HANOVER, NH US",1895,9,15,0,0,NA
"298","HANOVER, NH US",1895,9,16,0.01,0,NA
"299","HANOVER, NH US",1895,9,17,0,0,NA
"300","HANOVER, NH US",1895,9,18,0.03,0,NA
"301","HANOVER, NH US",1895,9,19,0,0,NA
"302","HANOVER, NH US",1895,9,20,0,0,NA
"303","HANOVER, NH US",1895,9,21,0,0,NA
"304","HANOVER, NH US",1895,9,22,0,0,NA
"305","HANOVER, NH US",1895,9,23,0,0,NA
"306","HANOVER, NH US",1895,9,24,0,0,NA
"307","HANOVER, NH US",1895,9,25,0,0,NA
"308","HANOVER, NH US",1895,9,26,0.3,0,NA
"309","HANOVER, NH US",1895,9,27,0,0,NA
"310","HANOVER, NH US",1895,9,28,0,0,NA
"311","HANOVER, NH US",1895,9,29,0,0,NA
"312","HANOVER, NH US",1895,9,30,1.18,0,NA
"313","HANOVER, NH US",1895,10,1,0,0,NA
"314","HANOVER, NH US",1895,10,2,0,0,NA
"315","HANOVER, NH US",1895,10,3,0,0,NA
"316","HANOVER, NH US",1895,10,4,0,0,NA
"317","HANOVER, NH US",1895,10,5,0,0,NA
"318","HANOVER, NH US",1895,10,6,0,0,NA
"319","HANOVER, NH US",1895,10,7,0,0,NA
"320","HANOVER, NH US",1895,10,8,0.17,0,NA
"321","HANOVER, NH US",1895,10,9,0,0,NA
"322","HANOVER, NH US",1895,10,10,0,0,NA
"323","HANOVER, NH US",1895,10,11,0,0,NA
"324","HANOVER, NH US",1895,10,12,0,0,NA
"325","HANOVER, NH US",1895,10,13,0.92,0,NA
"326","HANOVER, NH US",1895,10,14,0.17,0,NA
"327","HANOVER, NH US",1895,10,15,0,0,NA
"328","HANOVER, NH US",1895,10,16,0,0,NA
"329","HANOVER, NH US",1895,10,17,0.13,0,NA
"330","HANOVER, NH US",1895,10,18,0,0,NA
"331","HANOVER, NH US",1895,10,19,0,0,NA
"332","HANOVER, NH US",1895,10,21,0,0,NA
"333","HANOVER, NH US",1895,10,22,0,0,NA
"334","HANOVER, NH US",1895,10,23,0,0,NA
"335","HANOVER, NH US",1895,10,24,0,0,NA
"336","HANOVER, NH US",1895,10,25,0,0,NA
"337","HANOVER, NH US",1895,10,26,0,0,NA
"338","HANOVER, NH US",1895,10,27,0,0,NA
"339","HANOVER, NH US",1895,10,28,0.02,0,NA
"340","HANOVER, NH US",1895,10,29,0,0,NA
"341","HANOVER, NH US",1895,10,30,0.01,0,NA
"342","HANOVER, NH US",1895,10,31,0,0,NA
"343","HANOVER, NH US",1895,11,1,1.18,0,NA
"344","HANOVER, NH US",1895,11,3,0,0,NA
"345","HANOVER, NH US",1895,11,4,0,0,NA
"346","HANOVER, NH US",1895,11,5,0,0,NA
"347","HANOVER, NH US",1895,11,6,0,0,NA
"348","HANOVER, NH US",1895,11,7,0,0,NA
"349","HANOVER, NH US",1895,11,8,0,0,NA
"350","HANOVER, NH US",1895,11,9,0.7,0,NA
"351","HANOVER, NH US",1895,11,10,0.46,0,NA
"352","HANOVER, NH US",1895,11,11,0,0,NA
"353","HANOVER, NH US",1895,11,12,0,0,NA
"354","HANOVER, NH US",1895,11,13,0,0,NA
"355","HANOVER, NH US",1895,11,14,0,0,NA
"356","HANOVER, NH US",1895,11,15,0.5,0,NA
"357","HANOVER, NH US",1895,11,16,0,0,NA
"358","HANOVER, NH US",1895,11,17,0,0,NA
"359","HANOVER, NH US",1895,11,18,0,0,NA
"360","HANOVER, NH US",1895,11,19,0.11,0,NA
"361","HANOVER, NH US",1895,11,20,0.42,0,NA
"362","HANOVER, NH US",1895,11,21,0.14,4,NA
"363","HANOVER, NH US",1895,11,22,0.06,0.1,NA
"364","HANOVER, NH US",1895,11,23,0.06,0,NA
"365","HANOVER, NH US",1895,11,24,0.26,0,NA
"366","HANOVER, NH US",1895,11,26,0,0,NA
"367","HANOVER, NH US",1895,11,27,1.28,0,NA
"368","HANOVER, NH US",1895,11,28,0,0,NA
"369","HANOVER, NH US",1895,11,29,0,0,NA
"370","HANOVER, NH US",1895,11,30,0,0,NA
"371","HANOVER, NH US",1895,12,1,0,0,NA
"372","HANOVER, NH US",1895,12,2,0.51,0,NA
"373","HANOVER, NH US",1895,12,3,0,0,NA
"374","HANOVER, NH US",1895,12,4,0,0,NA
"375","HANOVER, NH US",1895,12,5,0.25,3.3,NA
"376","HANOVER, NH US",1895,12,6,0,0,NA
"377","HANOVER, NH US",1895,12,7,0,0,NA
"378","HANOVER, NH US",1895,12,9,0,0,NA
"379","HANOVER, NH US",1895,12,12,0,0,NA
"380","HANOVER, NH US",1895,12,13,0,0,NA
"381","HANOVER, NH US",1895,12,14,0,0,NA
"382","HANOVER, NH US",1895,12,15,0,0,NA
"383","HANOVER, NH US",1895,12,16,0,0,NA
"384","HANOVER, NH US",1895,12,17,0,0,NA
"385","HANOVER, NH US",1895,12,18,0,0,NA
"386","HANOVER, NH US",1895,12,19,0,0,NA
"387","HANOVER, NH US",1895,12,20,0,0,NA
"388","HANOVER, NH US",1895,12,21,0,0,NA
"389","HANOVER, NH US",1895,12,22,0.78,0,NA
"390","HANOVER, NH US",1895,12,23,0.05,0,NA
"391","HANOVER, NH US",1895,12,24,0,0,NA
"392","HANOVER, NH US",1895,12,25,0,0,NA
"393","HANOVER, NH US",1895,12,26,0.5,0,NA
"394","HANOVER, NH US",1895,12,27,0,0,NA
"395","HANOVER, NH US",1895,12,28,0,0,NA
"396","HANOVER, NH US",1895,12,29,0,0,NA
"397","HANOVER, NH US",1895,12,30,0,0,NA
"398","HANOVER, NH US",1895,12,31,0.96,0,NA
"399","HANOVER, NH US",1896,1,7,0.07,0.8,NA
"400","HANOVER, NH US",1896,1,9,0.18,2.5,NA
"401","HANOVER, NH US",1896,1,13,0.03,0.8,NA
"402","HANOVER, NH US",1896,1,19,0,0,NA
"403","HANOVER, NH US",1896,1,21,0,0,NA
"404","HANOVER, NH US",1896,1,24,0.2,2.5,NA
"405","HANOVER, NH US",1896,1,25,0.11,1.8,NA
"406","HANOVER, NH US",1896,1,26,0.08,1.5,NA
"407","HANOVER, NH US",1896,2,1,0.25,3,NA
"408","HANOVER, NH US",1896,2,2,0,0,NA
"409","HANOVER, NH US",1896,2,3,0,0,NA
"410","HANOVER, NH US",1896,2,5,0,0.8,NA
"411","HANOVER, NH US",1896,2,6,1.35,0.3,NA
"412","HANOVER, NH US",1896,2,7,0.29,0,NA
"413","HANOVER, NH US",1896,2,9,0.32,4,NA
"414","HANOVER, NH US",1896,2,11,0.07,1.5,NA
"415","HANOVER, NH US",1896,2,14,0.35,3.5,NA
"416","HANOVER, NH US",1896,2,15,0,0,NA
"417","HANOVER, NH US",1896,2,19,0.11,2.5,NA
"418","HANOVER, NH US",1896,2,21,0,0,NA
"419","HANOVER, NH US",1896,2,23,0,0,NA
"420","HANOVER, NH US",1896,2,24,0,0,NA
"421","HANOVER, NH US",1896,3,2,1.24,0,NA
"422","HANOVER, NH US",1896,3,3,0.07,0.5,NA
"423","HANOVER, NH US",1896,3,4,0,0,NA
"424","HANOVER, NH US",1896,3,7,1.23,2.5,NA
"425","HANOVER, NH US",1896,3,8,0,0.5,NA
"426","HANOVER, NH US",1896,3,12,0.89,11,NA
"427","HANOVER, NH US",1896,3,15,0,0.3,NA
"428","HANOVER, NH US",1896,3,17,0.72,9.8,NA
"429","HANOVER, NH US",1896,3,20,4.1,6.3,NA
"430","HANOVER, NH US",1896,3,22,0,0,NA
"431","HANOVER, NH US",1896,3,27,0.35,0.5,NA
"432","HANOVER, NH US",1896,3,29,0.2,0.8,NA
"433","HANOVER, NH US",1896,4,1,0,0,NA
"434","HANOVER, NH US",1896,4,2,0.52,4,NA
"435","HANOVER, NH US",1896,4,3,0,0.5,NA
"436","HANOVER, NH US",1896,4,4,0,0,NA
"437","HANOVER, NH US",1896,4,5,0,0,NA
"438","HANOVER, NH US",1896,4,6,0,0,NA
"439","HANOVER, NH US",1896,4,7,0.03,0.5,NA
"440","HANOVER, NH US",1896,4,8,0,0,NA
"441","HANOVER, NH US",1896,4,9,0,0,NA
"442","HANOVER, NH US",1896,4,10,0,0,NA
"443","HANOVER, NH US",1896,4,11,0,0,NA
"444","HANOVER, NH US",1896,4,12,0,0,NA
"445","HANOVER, NH US",1896,4,13,0,0,NA
"446","HANOVER, NH US",1896,4,14,0,0,NA
"447","HANOVER, NH US",1896,4,15,0,0,NA
"448","HANOVER, NH US",1896,4,16,0,0,NA
"449","HANOVER, NH US",1896,4,17,0.1,0,NA
"450","HANOVER, NH US",1896,4,18,0.03,0,NA
"451","HANOVER, NH US",1896,4,19,0,0,NA
"452","HANOVER, NH US",1896,4,20,0,0,NA
"453","HANOVER, NH US",1896,4,21,0,0,NA
"454","HANOVER, NH US",1896,4,22,0.15,0,NA
"455","HANOVER, NH US",1896,4,23,0,0,NA
"456","HANOVER, NH US",1896,4,24,0,0,NA
"457","HANOVER, NH US",1896,4,25,0,0,NA
"458","HANOVER, NH US",1896,4,26,0,0,NA
"459","HANOVER, NH US",1896,4,27,0,0,NA
"460","HANOVER, NH US",1896,4,28,0,0,NA
"461","HANOVER, NH US",1896,4,29,0,0,NA
"462","HANOVER, NH US",1896,4,30,0,0,NA
"463","HANOVER, NH US",1896,10,1,0.08,0,NA
"464","HANOVER, NH US",1896,10,2,0.05,0,NA
"465","HANOVER, NH US",1896,10,3,0.02,0,NA
"466","HANOVER, NH US",1896,10,4,0,0,NA
"467","HANOVER, NH US",1896,10,5,0.01,0,NA
"468","HANOVER, NH US",1896,10,6,0,0,NA
"469","HANOVER, NH US",1896,10,7,0.27,0,NA
"470","HANOVER, NH US",1896,10,8,0,0,NA
"471","HANOVER, NH US",1896,10,9,0,0,NA
"472","HANOVER, NH US",1896,10,10,0,0,NA
"473","HANOVER, NH US",1896,10,11,0,0,NA
"474","HANOVER, NH US",1896,10,12,0,0,NA
"475","HANOVER, NH US",1896,10,13,0.3,0,NA
"476","HANOVER, NH US",1896,10,14,1.39,0,NA
"477","HANOVER, NH US",1896,10,15,0,0,NA
"478","HANOVER, NH US",1896,10,16,0,0,NA
"479","HANOVER, NH US",1896,10,17,0,0,NA
"480","HANOVER, NH US",1896,10,18,0.53,0,NA
"481","HANOVER, NH US",1896,10,19,0,0,NA
"482","HANOVER, NH US",1896,10,20,0.04,1,NA
"483","HANOVER, NH US",1896,10,21,0.85,0,NA
"484","HANOVER, NH US",1896,10,22,0,0,NA
"485","HANOVER, NH US",1896,10,23,0,0,NA
"486","HANOVER, NH US",1896,10,24,0.18,0,NA
"487","HANOVER, NH US",1896,10,25,0,0,NA
"488","HANOVER, NH US",1896,10,26,0,0,NA
"489","HANOVER, NH US",1896,10,27,0,0,NA
"490","HANOVER, NH US",1896,10,28,0,0,NA
"491","HANOVER, NH US",1896,10,29,0.19,0,NA
"492","HANOVER, NH US",1896,10,30,0,0,NA
"493","HANOVER, NH US",1896,10,31,0.01,0,NA
"494","HANOVER, NH US",1896,11,1,0,0,NA
"495","HANOVER, NH US",1896,11,2,0,0,NA
"496","HANOVER, NH US",1896,11,3,0,0,NA
"497","HANOVER, NH US",1896,11,4,0.97,0,NA
"498","HANOVER, NH US",1896,11,5,0.08,0,NA
